algoName,symbol,Name,reset_price,Avg Cost,Diff_ResetPrice_AvgPrice,exec_weight%,Gain/Loss%
ALGO-A,OCP.IN,Orchid Consumer Products,,,-10.48%,,
ALGO-A,IEW.IN,Auric Speciality Chemicals,,,-6.04%,,
ALGO-A,LMF.IN,Lumen Microfinance Ltd,,,-5.86%,,
ALGO-A,SLL.IN,Crestline Laboratories,,,-5.28%,,
ALGO-A,RGL.IN,Regalia Lifestyle,,,5.55%,,
ALGO-A,HSF.IN,Harbor Small Finance Bank,,,6.54%,,
ALGO-A,CBP.IN,Cobalt Pharmaceuticals,,,7.8%,,
ALGO-A,SBI2.IN,Stonebridge Infra Ltd,,,8.39%,,
ALGO-A,NVC.IN,Novacare Hospitals,,,11.28%,,
ALGO-A,NCP.IN,Northgate Chemicals & Pharma,,,12.39%,,
ALGO-A,BCB.IN,Beacon Bank,,,12.44%,,
ALGO-A,TEC.IN,Titanium Engines Co,,,13.0%,,
ALGO-A,ZEV.IN,Zephyr E-Commerce Ventures,,,16.26%,,
ALGO-A,MPL.IN,Sterling Wealth Advisors,,,16.78%,,
ALGO-A,CFI.IN,Corestone Fluorochem Intl.,,,17.71%,,
ALGO-A,CCB.IN,Coppertree Cables,,,22.13%,,
ALGO-A,SWA.IN,Meridian Ports & Logistics,,,25.71%,,
ALGO-A,SLF.IN,Silverleaf Labs,,,26.98%,,
ALGO-A,VTX.IN,Vertex Telecom,,,27.31%,,
ALGO-A,VES.IN,Voltaic Energy Systems,,,60.88%,,
ALGO-B,CSC.IN,Cascade Logistics,,,-12.3%,,
ALGO-B,OCP.IN,Orchid Consumer Products,,,-10.48%,,
ALGO-B,GFL.IN,Granite Finance Ltd,,,-7.47%,,
ALGO-B,CDX.IN,Ironclad Engineering Works,,,-7.07%,,
ALGO-B,SGC.IN,Summit Global Capital,,,-6.94%,,
ALGO-B,IEW.IN,Auric Speciality Chemicals,,,-6.04%,,
ALGO-B,HSF.IN,Harbor Small Finance Bank,,,6.57%,,
ALGO-B,NVC.IN,Novacare Hospitals,,,11.31%,,
ALGO-B,NCP.IN,Northgate Chemicals & Pharma,,,12.37%,,
ALGO-B,TEC.IN,Titanium Engines Co,,,13.02%,,
ALGO-B,ZEV.IN,Zephyr E-Commerce Ventures,,,16.24%,,
ALGO-B,MPL.IN,Sterling Wealth Advisors,,,16.95%,,
ALGO-B,CFI.IN,Corestone Fluorochem Intl.,,,17.68%,,
ALGO-B,CCB.IN,Coppertree Cables,,,21.89%,,
ALGO-B,SLF.IN,Silverleaf Labs,,,26.74%,,
ALGO-B,VTX.IN,Vertex Telecom,,,27.71%,,
ALGO-B,VES.IN,Voltaic Energy Systems,,,53.73%,,
ALGO-B2,CSC.IN,Cascade Logistics,,,-12.38%,,
ALGO-B2,OCP.IN,Orchid Consumer Products,,,-10.48%,,
ALGO-B2,GFL.IN,Granite Finance Ltd,,,-7.47%,,
ALGO-B2,CDX.IN,Ironclad Engineering Works,,,-7.07%,,
ALGO-B2,SGC.IN,Summit Global Capital,,,-6.95%,,
ALGO-B2,IEW.IN,Auric Speciality Chemicals,,,-6.04%,,
ALGO-B2,HSF.IN,Harbor Small Finance Bank,,,6.64%,,
ALGO-B2,PYE.IN,Pyrotech Energy,,,7.34%,,
ALGO-B2,FPN.IN,Falcon Pneumatics,,,7.45%,,
ALGO-B2,CBP.IN,Cobalt Pharmaceuticals,,,7.76%,,
